"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Bottle","21-Oct-2019 9:00 AM","21-Oct-2019 9:08 AM","160ml, breast milk"
"Feeding","Bottle","20-Oct-2019 11:11 PM","20-Oct-2019 11:18 PM","90ml, breast milk"
"Feeding","Bottle","20-Oct-2019 8:47 PM","20-Oct-2019 8:56 PM","190ml, breast milk"
"Feeding","Bottle","20-Oct-2019 5:06 PM","20-Oct-2019 5:11 PM","135ml, breast milk"
"Feeding","Bottle","20-Oct-2019 1:45 PM","20-Oct-2019 1:51 PM","120ml, breast milk"
"Feeding","Bottle","20-Oct-2019 11:08 AM","20-Oct-2019 11:15 AM","120ml, breast milk"
"Feeding","Bottle","20-Oct-2019 8:18 AM","20-Oct-2019 8:25 AM","120ml, breast milk"
"Feeding","Bottle","19-Oct-2019 10:08 PM","19-Oct-2019 10:20 PM","195ml, breast milk"
"Feeding","Bottle","19-Oct-2019 7:12 PM","19-Oct-2019 7:20 PM","150ml, breast milk"
"Feeding","Bottle","19-Oct-2019 2:55 PM","19-Oct-2019 2:59 PM","90ml, breast milk"
"Feeding","Bottle","19-Oct-2019 11:54 AM","19-Oct-2019 12:00 PM","120ml, breast milk"
"Feeding","Bottle","19-Oct-2019 8:37 AM","19-Oct-2019 8:44 AM","140ml, breast milk"
"Feeding","Bottle","18-Oct-2019 10:26 PM","18-Oct-2019 10:31 PM","80ml, breast milk"
"Feeding","Bottle","18-Oct-2019 9:39 PM","18-Oct-2019 9:40 PM","20ml, breast milk"
"Feeding","Bottle","18-Oct-2019 7:35 PM","18-Oct-2019 7:42 PM","100ml, breast milk"
"Feeding","Bottle","18-Oct-2019 4:56 PM","18-Oct-2019 5:01 PM","70ml, breast milk"
"Feeding","Bottle","18-Oct-2019 1:50 PM","18-Oct-2019 1:53 PM","75ml, breast milk"
"Feeding","Bottle","18-Oct-2019 12:03 PM","18-Oct-2019 12:06 PM","75ml, breast milk"
"Feeding","Bottle","18-Oct-2019 10:23 AM","18-Oct-2019 10:25 AM","40ml, breast milk"
"Feeding","Bottle","18-Oct-2019 8:11 AM","18-Oct-2019 8:15 AM","90ml, breast milk"
"Feeding","Bottle","17-Oct-2019 10:20 PM","17-Oct-2019 10:28 PM","140ml, breast milk"
"Feeding","Bottle","17-Oct-2019 9:11 PM","17-Oct-2019 9:14 PM","60ml, breast milk"
"Feeding","Bottle","17-Oct-2019 6:42 PM","17-Oct-2019 6:49 PM","105ml, breast milk"
"Feeding","Bottle","17-Oct-2019 2:47 PM","17-Oct-2019 2:50 PM","60ml, breast milk"
"Feeding","Bottle","17-Oct-2019 12:04 PM","17-Oct-2019 12:10 PM","100ml, breast milk"
"Feeding","Bottle","17-Oct-2019 7:39 AM","17-Oct-2019 7:45 AM","145ml, breast milk"
"Feeding","Bottle","16-Oct-2019 11:37 PM","16-Oct-2019 11:39 PM","50ml, breast milk"
"Feeding","Bottle","16-Oct-2019 9:23 PM","16-Oct-2019 9:29 PM","130ml, breast milk"
"Feeding","Bottle","16-Oct-2019 6:41 PM","16-Oct-2019 6:46 PM","125ml, breast milk"
"Feeding","Bottle","16-Oct-2019 2:37 PM","16-Oct-2019 2:38 PM","30ml, breast milk"
"Feeding","Bottle","16-Oct-2019 1:03 PM","16-Oct-2019 1:05 PM","40ml, breast milk"
"Feeding","Bottle","16-Oct-2019 11:14 AM","16-Oct-2019 11:20 AM","135ml, breast milk"
"Feeding","Bottle","16-Oct-2019 7:57 AM","16-Oct-2019 8:03 AM","120ml, breast milk"
"Feeding","Bottle","15-Oct-2019 10:27 PM","15-Oct-2019 10:33 PM","145ml, breast milk"
"Feeding","Bottle","15-Oct-2019 6:47 PM","15-Oct-2019 6:51 PM","115ml, breast milk"
"Feeding","Bottle","15-Oct-2019 3:01 PM","15-Oct-2019 3:07 PM","130ml, breast milk"
"Feeding","Bottle","15-Oct-2019 12:22 PM","15-Oct-2019 12:29 PM","135ml, breast milk"
"Feeding","Bottle","15-Oct-2019 9:10 AM","15-Oct-2019 9:17 AM","135ml, breast milk"
"Feeding","Bottle","14-Oct-2019 11:25 PM","14-Oct-2019 11:30 PM","105ml, breast milk"
"Feeding","Bottle","14-Oct-2019 9:30 PM","14-Oct-2019 9:35 PM","75ml, breast milk"
"Feeding","Bottle","14-Oct-2019 6:55 PM","14-Oct-2019 7:00 PM","105ml, breast milk"
"Feeding","Bottle","14-Oct-2019 5:10 PM","14-Oct-2019 5:15 PM","125ml, breast milk"
"Feeding","Bottle","14-Oct-2019 1:55 PM","14-Oct-2019 2:01 PM","150ml, breast milk"
"Feeding","Bottle","14-Oct-2019 9:32 AM","14-Oct-2019 9:38 AM","155ml, breast milk"
"Feeding","Bottle","13-Oct-2019 11:40 PM","13-Oct-2019 11:47 PM","130ml, breast milk"
"Feeding","Bottle","13-Oct-2019 9:35 PM","13-Oct-2019 9:40 PM","80ml, breast milk"
"Feeding","Bottle","13-Oct-2019 5:54 PM","13-Oct-2019 6:03 PM","165ml, breast milk"
"Feeding","Bottle","13-Oct-2019 4:28 PM","13-Oct-2019 4:33 PM","100ml, breast milk"
"Feeding","Bottle","13-Oct-2019 1:42 PM","13-Oct-2019 1:46 PM","75ml, breast milk"
"Feeding","Bottle","13-Oct-2019 12:20 PM","13-Oct-2019 12:24 PM","75ml, breast milk"
"Feeding","Bottle","13-Oct-2019 9:38 AM","13-Oct-2019 9:45 AM","150ml, breast milk"
"Feeding","Bottle","12-Oct-2019 11:30 PM","12-Oct-2019 11:33 PM","60ml, breast milk"
"Feeding","Bottle","12-Oct-2019 9:54 PM","12-Oct-2019 10:00 PM","130ml, breast milk"
"Feeding","Bottle","12-Oct-2019 7:15 PM","12-Oct-2019 7:19 PM","90ml, breast milk"
"Feeding","Bottle","12-Oct-2019 4:25 PM","12-Oct-2019 4:30 PM","135ml, breast milk"
"Feeding","Bottle","12-Oct-2019 2:27 PM","12-Oct-2019 2:30 PM","50ml, breast milk"
"Feeding","Bottle","12-Oct-2019 11:23 AM","12-Oct-2019 11:30 AM","160ml, breast milk"
"Feeding","Bottle","12-Oct-2019 8:44 AM","12-Oct-2019 8:51 AM","150ml, breast milk"
"Feeding","Bottle","11-Oct-2019 11:34 PM","11-Oct-2019 11:38 PM","90ml, breast milk"
"Feeding","Bottle","11-Oct-2019 9:18 PM","11-Oct-2019 9:25 PM","150ml, breast milk"
"Feeding","Bottle","11-Oct-2019 5:40 PM","11-Oct-2019 5:47 PM","150ml, breast milk"
"Feeding","Bottle","11-Oct-2019 3:58 PM","11-Oct-2019 4:00 PM","35ml, breast milk"
"Feeding","Bottle","11-Oct-2019 1:17 PM","11-Oct-2019 1:25 PM","170ml, breast milk"
"Feeding","Bottle","11-Oct-2019 11:40 AM","11-Oct-2019 11:45 AM","90ml, breast milk"
"Feeding","Bottle","11-Oct-2019 8:09 AM","11-Oct-2019 8:15 AM","150ml, breast milk"
"Feeding","Bottle","10-Oct-2019 11:25 PM","10-Oct-2019 11:32 PM","150ml, breast milk"
"Feeding","Bottle","10-Oct-2019 8:01 PM","10-Oct-2019 8:06 PM","135ml, breast milk"
"Feeding","Bottle","10-Oct-2019 6:53 PM","10-Oct-2019 6:57 PM","40ml, breast milk"
"Feeding","Bottle","10-Oct-2019 3:04 PM","10-Oct-2019 3:09 PM","120ml, breast milk"
"Feeding","Bottle","10-Oct-2019 12:13 PM","10-Oct-2019 12:19 PM","150ml, breast milk"
"Feeding","Bottle","10-Oct-2019 9:31 AM","10-Oct-2019 9:37 AM","150ml, breast milk"
"Feeding","Bottle","09-Oct-2019 10:09 PM","09-Oct-2019 10:14 PM","105ml, breast milk"
"Feeding","Bottle","09-Oct-2019 7:17 PM","09-Oct-2019 7:23 PM","150ml, breast milk"
"Feeding","Bottle","09-Oct-2019 4:43 PM","09-Oct-2019 4:51 PM","210ml, breast milk"
"Feeding","Bottle","09-Oct-2019 12:26 PM","09-Oct-2019 12:32 PM","140ml, breast milk"
"Feeding","Bottle","09-Oct-2019 9:08 AM","09-Oct-2019 9:14 AM","155ml, breast milk"
"Feeding","Bottle","08-Oct-2019 10:54 PM","08-Oct-2019 11:01 PM","135ml, breast milk"
